Dalvik/2.1.0 (Linux; U; Android 5.0; ASUS_Z017 Build/TMAYU1QN) [FBAN/FB4A; FBAV/104.0.0.68.1 FBBV/7232729 FBDM={density=3.0,width=783,height=667} FBLC/zh_TW FBRV/1371495 FBCR/T-Mobile FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z017 FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 6.0; LM-X410 Build/8YCUDB6U) [FBAN/FB4A; FBAV/97.0.0.5.6 FBBV/3944275 FBDM={density=3.0,width=902,height=1755} FBLC/zh_CN FBRV/586534 FBCR/Verizon FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-X410 FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 5.0; SM-A127F Build/ZLP1W4MF) [FBAN/FB4A; FBAV/118.0.0.7.35 FBBV/7413774 FBDM={density=3.0,width=1080,height=1427} FBLC/ko_KR FBRV/6390859 FBCR/Boost Mobile FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A127F FBSV/5.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 7.0; Pixel 4a Build/RW5XWMWA) [FBAN/FB4A; FBAV/104.0.0.61.63 FBBV/1494830 FBDM={density=3.0,width=398,height=1243} FBLC/zh_CN FBRV/278526 FBCR/AT&T FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 4a FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 7.0; CPH2171 Build/XHSZD4HY) [FBAN/FB4A; FBAV/99.0.0.21.59 FBBV/2059061 FBDM={density=3.0,width=921,height=1171} FBLC/zh_TW FBRV/970253 FBCR/T-Mobile FBMF/OPPO FBBD/OPPO FBPN/com.facebook.katana FBDV/CPH2171 FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/2.1.0 (Linux; U; Android 8.0; LM-G820 Build/GFRG7CXI) [FBAN/FB4A; FBAV/110.0.0.6.3 FBBV/1536993 FBDM={density=3.0,width=631,height=1403} FBLC/pt_BR FBRV/443816 FBCR/AT&T FBMF/LG FBBD/LG FBPN/com.facebook.katana FBDV/LM-G820 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 4.2.2; ASUS_Z010 Build/WQVBBQ6R) [FBAN/FB4A; FBAV/113.0.0.100.67 FBBV/6140622 FBDM={density=3.0,width=877,height=848} FBLC/it_IT FBRV/6214593 FBCR/Telecom FBMF/ASUS FBBD/ASUS FBPN/com.facebook.katana FBDV/ASUS_Z010 FBSV/4.2.2 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 7.0; SM-A127F Build/0KIS884P) [FBAN/FB4A; FBAV/120.0.0.72.30 FBBV/6798683 FBDM={density=3.0,width=387,height=936} FBLC/fr_FR FBRV/9784329 FBCR/O2 FBMF/Samsung FBBD/Samsung FBPN/com.facebook.katana FBDV/SM-A127F FBSV/7.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 10.0; V2072 Build/AUU7XOVK) [FBAN/FB4A; FBAV/101.0.0.6.56 FBBV/91773 FBDM={density=3.0,width=519,height=1212} FBLC/en_US FBRV/9989788 FBCR/Boost Mobile FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2072 FBSV/10.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.8.0 (Linux; U; Android 6.0; Pixel 6 Pro Build/SEI7NTI2) [FBAN/FB4A; FBAV/97.0.0.84.64 FBBV/937460 FBDM={density=3.0,width=1021,height=1573} FBLC/en_US FBRV/9988913 FBCR/T-Mobile FBMF/Google FBBD/Google FBPN/com.facebook.katana FBDV/Pixel 6 Pro FBSV/6.0 FBOP/1 FBCA/x86:armeabi-v7a]
Dalvik/1.6.0 (Linux; U; Android 8.0; V2027 Build/ILHO8DME) [FBAN/FB4A; FBAV/87.0.0.29.12 FBBV/1286154 FBDM={density=3.0,width=468,height=1081} FBLC/de_DE FBRV/3607425 FBCR/AT&T FBMF/Vivo FBBD/Vivo FBPN/com.facebook.katana FBDV/V2027 FBSV/8.0 FBOP/1 FBCA/x86:armeabi-v7a]
